Industry Vertical,SubVertical,City  Location,InvestmentnType,Amount in USD,Amount
E-Commerce,"Original Art, Digital Prints etailer",Gurgaon,Seed Funding,"4,45,000",4.45
Consumer Internet,Community services platform,Mumbai,Seed Funding,"2,00,000",2
Consumer Internet,Photo Sharing Mobile App,Bangalore,Seed Funding,"5,00,000",5
E-Commerce,Men\\xe2\\x80\\x99s Grooming Product etailer,New Delhi,Seed Funding,"6,00,000",6
Consumer Internet,Online ticket booking platform,Bangalore,Private Equity,"70,00,000",70
Consumer Internet,Online Tutoring Service provider,Mumbai,Seed Funding,"2,09,000",2.09
Technology,Cloud Based Software Solutions Provider,Hyderabad,Private Equity,"1,50,00,000",150
Technology,Agri-Technology supply chain Solution provider,Gurgaon,Private Equity,"15,00,000",15
Consumer Internet,peer-to-peer lending platform,Gurgaon,Private Equity,"15,00,000",15
Technology,Integrated Enterprise Analytics Platform,Noida,Private Equity,"1,56,00,000",156
Technology,Data Analytics & Audience Management Platform,Gurgaon,Seed Funding,"5,00,000",5
Consumer Internet,Budget Hotels Aggregator,New Delhi,Private Equity,"6,20,00,000",620
Consumer Internet,Mobile Messaging App,New Delhi,Private Equity,"17,50,00,000",1750
E-Commerce,Online Jewellery Store,Mumbai,Private Equity,"5,00,000",5
E-Commerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Private Equity,"15,00,000",15
Technology,Online & Mobile learning for kids,Pune,Seed Funding,"2,50,000",2.5
Logistics,Online Logistics Marketplace,Indore,Seed Funding,"3,75,000",3.75
Technology,Mobile security solutions,Bangalore,Private Equity,"6,75,000",6.75
Consumer Internet,Classified Listings platform,Mumbai,Private Equity,"2,00,00,000",200
Technology,Aadhar based Document Signing platform,Bangalore,Private Equity,"3,75,000",3.75
Health and wellness,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,Private Equity,"3,70,00,000",370
Consumer Internet,Online Notes Sharing Portal,New Delhi,Seed Funding,"1,00,000",1
Technology,AI based marketing platform,New Delhi,Seed Funding,"2,00,000",2
Consumer Internet,Free Interactive education platform,Bangalore,Private Equity,"10,00,000",10
Technology,Clinical Imaging Solution Provider,Chandigarh,Seed Funding,"1,00,000",1
E-Commerce,Home Furnishing rental marketplace,Bangalore,Seed Funding,"5,00,000",5
E-Commerce,Dreams fulfilling marketplace,Mumbai,Seed Funding,"5,00,000",5
Education,Edutainment platform,Noida,Private Equity,"9,00,000",9
E-Commerce,Online Furniture Store,Mumbai,Private Equity,"30,00,000",30
Health and wellness,Health and Fitness Centres,Bangalore,Private Equity,"30,00,000",30
Consumer Internet,Self-driven car booking platform,Bangalore,Private Equity,"2,40,00,000",240
Consumer Internet,Photo and Video Sharing App,Gurgaon,Seed Funding,"5,00,000",5
Consumer Internet,Digital Wallet platform,Gurgaon,Private Equity,"4,00,00,000",400
Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Seed Funding,"5,50,000",5.5
Consumer Internet,Lending platform for Salaried professionals,Mumbai,Private Equity,"30,00,000",30
Consumer Internet,hyperlocal Logistics services provider,Bangalore,Private Equity,"70,00,000",70
Consumer Internet,Self-Publishing books platform,Chennai,Private Equity,"10,00,000",10
Consumer Internet,Online portal for Home Design,Bangalore,Private Equity,"1,50,00,000",150
Technology,Assessment & Learning Platform,Gurgaon,Seed Funding,"1,49,000",1.49
Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,Seed Funding,"1,04,000",1.04
E-Commerce,Mobile Wallet & E-Commerce platform,Bangalore,Private Equity,"6,00,00,000",600
Technology,Agriculture Technology Solutions,Bangalore,Private Equity,"20,00,000",20
Consumer Internet,Photographer Discovery & Information platform,Bangalore,Private Equity,"30,00,000",30
E-Commerce,Online fashion rental platform,Mumbai,Private Equity,"53,00,000",53
Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Seed Funding,"5,00,000",5
Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,Private Equity,"7,00,000",7
Consumer Internet,Online Preventive Health and wellness Platform,Bangalore,Private Equity,"1,50,00,000",150
E-Commerce,Custom Furniture Online,Mumbai,Seed Funding,"2,00,000",2
Logistics,hyperlocal logistics service,Mumbai,Private Equity,"20,00,000",20
Finance,SME Lending platform,Mumbai,Private Equity,"1,60,00,000",160
Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,Private Equity,"10,00,000",10
Consumer Internet,Event & Movie Ticketing platform,Mumbai,Private Equity,"8,20,00,000",820
E-Commerce,Online fashion rental platform,Mumbai,Seed Funding,"17,00,000",17
E-Commerce,Online Merchandize etailer,New Delhi,Private Equity,"7,40,000",7.4
Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,Seed Funding,"2,50,000",2.5
Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,Seed Funding,"2,97,000",2.97
Technology,Mobile Security App development & Distribution,Mumbai,Private Equity,"20,00,000",20
Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Private Equity,"10,00,000",10
Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,Private Equity,"19,50,000",19.5
E-Commerce,Beauty Products Marketplace,Mumbai,Private Equity,"60,00,000",60
Technology,Car Tracking & Safety System,Gurgaon,Private Equity,"35,00,000",35
E-Commerce,Unboxed & refurbished electronic products marketplace,Gurgaon,Private Equity,"30,00,000",30
Technology,SaaS based Service Agreement Management,Gurgaon,Private Equity,"1,22,50,000",122.5
Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Private Equity,"50,00,000",50
Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,Seed Funding,"6,00,000",6
Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,Private Equity,"13,50,000",13.5
Consumer Internet,Online Furniture Renting Platform,Bangalore,Private Equity,"50,00,000",50
E-Commerce,Personalized precious Jewellery etailer,Coimbatore,Seed Funding,"4,50,000",4.5
Technology,M-Commerce Solutions for Retail Stores,Pune,Private Equity,"10,70,000",10.7
Technology,Enterprise Work Management Software,Pune,Seed Funding,"10,00,000",10
Consumer Internet,Online Investment Banking platform,Bangalore,Private Equity,"20,00,000",20
E-Commerce,Travel Package Marketplace,New Delhi,Seed Funding,"2,50,000",2.5
Consumer Internet,Public Transport Mobile App,Mumbai,Private Equity,"60,00,000",60
Consumer Internet,Online Learning Platform,Pune,Seed Funding,"6,50,000",6.5
Consumer Internet,Online Food Ordering platform,New Delhi,Seed Funding,"6,50,000",6.5
E-Commerce,Jewellery Etailer,Mumbai,Private Equity,"3,00,00,000",300
Technology,Cloud-Based Enterprise Solutions,New Delhi,Private Equity,"1,00,00,000",100
Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Private Equity,"1,50,00,000",150
Technology,Payroll & Benefits Software solutions,Bangalore,Private Equity,"10,00,000",10
Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Seed Funding,"2,50,000",2.5
Consumer Internet,Online Tax Filing Portal,Jaipur,Private Equity,"10,00,000",10
Logistics,Technology-focused cargo transport startup,Mumbai,Seed Funding,"5,95,000",5.95
Consumer Internet,Online Car rental booking platform,New Delhi,Private Equity,"10,00,000",10
Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Seed Funding,"5,95,000",5.95
Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Private Equity,"10,00,000",10
Consumer Internet,Bus Aggregator Mobile app,Mumbai,Private Equity,"10,00,000",10
Consumer Internet,Truck Aggregator & Booking platform,Chennai,Seed Funding,"75,000",0.75
Health and wellness,Treatment Development for Antibiotic-resistant diseases,New Delhi,Private Equity,"20,00,000",20
Consumer Internet,Media and Entertainment Startup,Hyderabad,Seed Funding,"4,48,000",4.48
Education,K-12 Maths Learning Courses,Bangalore,Private Equity,"40,00,000",40
Consumer Internet,Student Micro-Loan platform,Bangalore,Private Equity,"20,00,000",20
Technology,Post merger Integration Partners,Bangalore,Seed Funding,"1,00,000",1
Technology,Mobile CRM Platform,Pune,Private Equity,"2,30,00,000",230
Technology,Credit Scoring Platform,Mumbai,Private Equity,"10,00,000",10
Consumer Internet,Online Learning Platform,Hyderabad,Seed Funding,"10,00,000",10
E-Commerce,Location based Classified Mobile app,Mumbai,Seed Funding,"5,00,000",5
Technology,Technology-enabled Fashion Talent platform,Mumbai,Seed Funding,"2,00,000",2
E-Commerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Private Equity,"1,60,00,000",160
Consumer Internet,Online medical support platform,Gurgaon,Seed Funding,"2,00,000",2
Technology,Finance Platform,Mumbai,Seed Funding,"20,00,000",20
Consumer Internet,Mobile based rewards platform,New Delhi,Private Equity,"5,00,000",5
E-Commerce,Online custom Shirt retailer,Mumbai,Private Equity,"10,00,000",10
Technology,Data Driven Advertising platform,Bangalore,Private Equity,"60,00,000",60
Consumer Internet,Queue management Mobile app,Pune,Seed Funding,"10,00,000",10
Consumer Internet,Online Alternative health community platform,Bangalore,Private Equity,"44,00,000",44
Consumer Internet,Taxi Rental Platform,Vadodara,Seed Funding,"4,50,000",4.5
Consumer Internet,Contact Management Mobile App,New Delhi,Private Equity,"4,50,000",4.5
Consumer Internet,Help Hiring Platform,Gurgaon,Private Equity,"6,00,000",6
E-Commerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,Private Equity,"2,00,00,000",200
Consumer Internet,Online Tax Filing Platform,New Delhi,Private Equity,"1,20,00,000",120
Technology,Home Automation Solutions,Bangalore,Private Equity,"9,00,000",9
Technology,Payroll & HR Software Developer,Bangalore,Private Equity,"52,00,000",52
Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Seed Funding,"1,50,000",1.5
Technology,Finance Product Development & Services Startup,Bangalore,Seed Funding,"4,00,000",4
Consumer Internet,Online Outdoors & travel,Mumbai,Seed Funding,"2,25,000",2.25
FMCG,Beauty Products & Training to Salons & Spas,Chennai,Seed Funding,"1,50,000",1.5
E-Commerce,Women Lingerie Store,Mumbai,Private Equity,"60,00,000",60
Consumer Internet,Online invoice app for SMEs,Pune,Seed Funding,"1,50,000",1.5
Technology,Logistics Management Software,New Delhi,Private Equity,"35,00,000",35
Consumer Internet,School Parent Communication App,Bangalore,Seed Funding,"2,10,000",2.1
Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,Seed Funding,"50,000",0.5
Technology,Cloud Data Security & Privacy Solutions,Bangalore,Seed Funding,"5,00,000",5
Logistics,Cold Storage Logistics solutions,Mumbai,Private Equity,"60,00,000",60
Others,Supply Chain Equipment & Services provider,Mumbai,Private Equity,"30,00,000",30
Others,Free Door Step Scrap Pickup Service,New Delhi,Seed Funding,"1,48,000",1.48
Consumer Internet,Online counselling & Personal coaching platform,Bangalore,Seed Funding,"12,00,000",12
Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,Seed Funding,"1,00,000",1
Consumer Internet,Online ticket booking platform,Bangalore,Private Equity,"30,00,000",30
Consumer Internet,Online Hotel aggregator & Booking platform,Gurgaon,Private Equity,"80,00,000",80
Technology,GPS based SaaS Solutions,Ahmedabad,Seed Funding,"3,00,000",3
Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,Private Equity,"3,20,00,000",320
Consumer Internet,Online Tax Filing Platform,New Delhi,Seed Funding,"2,95,000",2.95
E-Commerce,E-Commerce SaaS Solutions,New Delhi,Private Equity,"1,00,000",1
Technology,Visual Content Marketing,Kolkata,Seed Funding,"50,000",0.5
E-Commerce,Online designer jewellery marketplace,Mumbai,Private Equity,"15,00,000",15
Consumer Internet,Online/ Mobile Tax Cab booking,Mumbai,Private Equity,"2,50,00,000",250
Consumer Internet,Student focussed Content Discovery portal,Bangalore,Seed Funding,"2,20,000",2.2
Food & Beverages,QSR Chain,Gurgaon,Private Equity,"3,68,000",3.68
Technology,Parking Technology Platform,New Delhi,Seed Funding,"3,76,000",3.76
Consumer Internet,Health Service Aggregator Platform,Pune,Seed Funding,"1,45,000",1.45
Consumer Internet,Mobile & Digital Wallet,Gurgaon,Private Equity,"5,00,00,000",500
Consumer Internet,Online Recruitment Platform,Bangalore,Seed Funding,"2,50,000",2.5
Consumer Internet,Car driver Discovery App,Mumbai,Seed Funding,"1,80,000",1.8
Consumer Internet,Road Trip planning Mobile app,Mumbai,Seed Funding,"2,00,000",2
E-Commerce,Eyewear & Accessories etailer,New Delhi,Private Equity,"6,00,00,000",600
Technology,Enterprise Security Technology platform,Mumbai,Private Equity,"1,20,00,000",120
Technology,Solar Rooftop system installation company,Chennai,Seed Funding,"2,00,000",2
Technology,Telecom & Media IT services company,Pune,Seed Funding,"2,00,000",2
E-Commerce,Medical Supplies eTailer,Hyderabad,Seed Funding,"1,50,000",1.5
Technology,Intelligent Technology platform for Finance vertical,Singapore,Seed Funding,"5,00,000",5
Technology,Affordable non-emergency medical service health plans,New Delhi,Seed Funding,"5,00,000",5
Consumer Internet,Web Video Streaming Platform,Bangalore,Seed Funding,"5,00,000",5
Consumer Internet,Cloud Based Software Solutions,Bangalore,Seed Funding,"3,75,000",3.75
Education,Education Workshops & mentoring programs,Lucknow,Private Equity,"10,00,000",10
Logistics,Logistics and Warehousing services,Hyderabad,Seed Funding,"75,000",0.75
Technology,Logistics Intelligence platform,Bangalore,Private Equity,"27,50,000",27.5
Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,Seed Funding,"4,50,000",4.5
E-Commerce,"Furniture, appliances Portal",New Delhi,Seed Funding,"2,50,000",2.5
Consumer Internet,Health & Fitness App,Bangalore,Private Equity,"60,00,000",60
Consumer Internet,Conversion Rate Optimization Platform,Chennai,Private Equity,"15,00,000",15
Technology,Clean Water Technology,Chennai,Private Equity,"1,80,00,000",180
E-Commerce,School Uniform & Supplies Marketplace,Mumbai,Seed Funding,"15,00,000",15
Consumer Internet,Food Delivery Platform,Bangalore,Private Equity,"70,00,000",70
Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Private Equity,"9,00,000",9
Technology,Data Analytics Company,Mumbai,Private Equity,"10,00,00,000",1000
Consumer Internet,Free Online Education Platform,Bangalore,Seed Funding,"5,00,000",5
Consumer Internet,Online Lending Platform,Bangalore,Private Equity,"2,50,00,000",250
Health and wellness,Senior Health and wellness Services,Hyderabad,Private Equity,"1,50,000",1.5
Consumer Internet,Budget Room Aggregator Booking platform,Chennai,Private Equity,"1,35,00,000",135
Logistics,E-Commerce Logistics Solutions,Mumbai,Private Equity,"22,00,000",22
E-Commerce,Smart Learning products,Delhi,Private Equity,"10,00,000",10
Consumer Internet,Food Ordering Mobile App,Bangalore,Seed Funding,"2,50,000",2.5
Consumer Internet,Online health-on-demand platform,Trivandrum,Seed Funding,"1,00,000",1
Education,Online Certification Courses,Mumbai,Private Equity,"1,00,00,000",100
Reality,Co-Working Spaces,Bangalore,Private Equity,"10,00,000",10
Consumer Internet,Location-based offline retail discovery platform,Mumbai,Seed Funding,"10,00,000",10
Consumer Internet,Cab Aggregating Platform,New Delhi,Seed Funding,"5,00,000",5
Consumer Internet,On Demand Digital Sports Network,New Delhi,Seed Funding,"5,00,000",5
Consumer Internet,Online Peer to Peer Funding,Noida,Seed Funding,"3,00,000",3
Consumer Internet,Fashion Discovery platform,New Delhi,Seed Funding,"89,000",0.89
Consumer Internet,Online investment platform,Bangalore,Seed Funding,"10,00,000",10
Health and wellness,Pediatric Primary Health and wellness Network,Bangalore,Private Equity,"15,00,000",15
Technology,Mobility Devices for differently abled,Pune,Seed Funding,"1,00,000",1
Consumer Internet,Online Income Tax Filing platform,Bangalore,Private Equity,"20,00,000",20
Consumer Internet,Celebrity Entertainment Contest App,New Delhi,Seed Funding,"4,75,000",4.75
Technology,Safe driving Analytics platform,Mumbai,Seed Funding,"2,00,000",2
E-Commerce,Apparel & Lifestyle eTailer,New Delhi,Private Equity,"44,00,000",44
Consumer Internet,Payment Gateway,Mumbai,Private Equity,"89,00,000",89
Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Seed Funding,"1,75,000",1.75
Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,Private Equity,"27,00,000",27
Consumer Internet,Media Entertainment Portal,Mumbai,Private Equity,"2,50,00,000",250
Logistics,Logistics Solutions,Gurgaon,Private Equity,"10,00,000",10
Consumer Internet,Online bike service and repairs platform,Bangalore,Seed Funding,"5,00,000",5
Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,Private Equity,"60,00,000",60
Consumer Internet,Online Food Delivery Platform,Bangalore,Private Equity,"10,00,000",10
Consumer Internet,Online Health Diagnosis platform,New Delhi,Seed Funding,"40,000",0.4
Consumer Internet,Social discovery platform,Mumbai,Seed Funding,"2,00,000",2
Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,Private Equity,"10,00,00,000",1000
Consumer Internet,Price Comparison Portal,Gurgaon,Seed Funding,"3,00,000",3
Consumer Internet,On-Demand Task Management App,Bangalore,Seed Funding,"10,00,000",10
Consumer Internet,Online legal Services for Startups,New Delhi,Seed Funding,"10,00,000",10
Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Seed Funding,"1,50,000",1.5
E-Commerce,Fashion E-Commerce App,Mumbai,Seed Funding,"2,50,000",2.5
E-Commerce,Invoice discounting\\xc2\\xa0 Marketplace,Bangalore,Seed Funding,"7,50,000",7.5
Technology,contextual mobile advertising,Mumbai,Seed Funding,"1,00,000",1
Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Seed Funding,"10,00,000",10
Consumer Internet,On-Demand Beauty Service provider,New Delhi,Private Equity,"1,50,00,000",150
Consumer Internet,Furnished Home Rental Platform,Bangalore,Private Equity,"3,00,00,000",300
Consumer Internet,Expert Advice Platform,Bangalore,Seed Funding,"1,50,000",1.5
Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Private Equity,"1,00,00,000",100
E-Commerce,customer intelligence and marketing automation platform,Noida,Private Equity,"15,00,000",15
Consumer Internet,on-demand chauffeur provider,Chennai,Seed Funding,"4,50,000",4.5
Consumer Internet,College & Student information platform,New Delhi,Private Equity,"20,00,000",20
E-Commerce,Online Pharmacy,Gurgaon,Private Equity,"1,50,00,000",150
E-Commerce,Mobile based Meat ordering App,Bangalore,Private Equity,"30,00,000",30
Consumer Internet,Children\xe2\x80\x99s Entertainment Games & Products,New Delhi,Seed Funding,"4,50,000",4.5
Consumer Internet,Shuttle Service Provider,Hyderabad,Seed Funding,"2,00,000",2
Food & Beverages,Ready-to-Drink Beverage Producer,Bangalore,Seed Funding,"5,50,000",5.5
Consumer Internet,Digital Payments platform,Mumbai,Private Equity,"1,50,00,000",150
Consumer Internet,Online filing of Tax returns,Bangalore,Private Equity,"13,00,000",13
E-Commerce,Social Fashion E-Commerce Discovery platform,Gurgaon,Private Equity,"1,50,00,000",150
Consumer Internet,Micro Grocery Delivery Platform,Gurgaon,Seed Funding,"5,00,000",5
Consumer Internet,Mobile based Children health Information app,New Delhi,Seed Funding,"4,50,000",4.5
Consumer Internet,Online Wedding Information Portal,Mumbai,Seed Funding,"6,00,000",6
Consumer Internet,Online Doctor Discovery & Chat platform,Bangalore,Private Equity,"12,00,000",12
Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,Seed Funding,"5,00,000",5
E-Commerce,E-Commerce SaaS Solutions,New Delhi,Private Equity,"1,00,000",1
Consumer Internet,Mobile Wallet Aggregation platform,Noida,Private Equity,"6,00,000",6
Technology,Industrial robots maker,Bangalore,Private Equity,"14,00,000",14
Education,Financial Services & Analytics Education Institute,Mumbai,Private Equity,"10,00,000",10
Consumer Internet,Social Discovery Mobile app,New Delhi,Seed Funding,"5,00,000",5
E-Commerce,Office Products Super Store,Chennai,Private Equity,"10,00,000",10
Consumer Internet,Mobile Payments Platform,Kolkata,Seed Funding,"1,50,000",1.5
Consumer Internet,Mobile App discovery and review platform,Gurgaon,Seed Funding,"1,00,000",1
Health and wellness,Health and wellness related Services provider,Gurgaon,Private Equity,"40,00,000",40
Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,Seed Funding,"5,00,000",5
E-Commerce,B2B marketplace for Farmers & Retailers,Bangalore,Private Equity,"30,00,000",30
Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,Seed Funding,"5,00,000",5
Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Seed Funding,"2,50,000",2.5
Consumer Internet,Medical Support service platform,Bangalore,Seed Funding,"1,00,000",1
Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Bangalore,Seed Funding,"7,50,000",7.5
E-Commerce,E-Commerce SaaS platform,New Delhi,Private Equity,"80,00,000",80
Consumer Internet,Daily Task Management App,Bangalore,Seed Funding,"6,50,000",6.5
Technology,Virtual Reality Solutions,Noida,Seed Funding,"5,00,000",5
Real Estate,Interior Design & Home D\\xc3\\xa9cor Solutions,Bangalore,Seed Funding,"25,00,000",25
Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,Seed Funding,"10,00,000",10
Consumer Internet,Self Drive Car Rental,Mumbai,Seed Funding,"4,00,000",4
Food & Beverages,premium dining lounges Chain,New Delhi,Private Equity,"1,11,00,000",111
Technology,Contract Management Software Solutions platform,Pune/Seattle,Private Equity,"1,50,00,000",150
E-Commerce,Construction material eTailer,New Delhi,Seed Funding,"10,00,000",10
E-Commerce,Medical Supplies eTailer,Bangalore,Seed Funding,"2,23,608",2.23608
Logistics,"Domestic, Commercial, and Industrial Goods Movers",New Delhi,Private Equity,"1,49,00,000",149
Consumer Internet,Tutor Search Platform,Bangalore,Private Equity,"10,00,000",10
Technology,Advertising Technology,Pune,Seed Funding,"1,50,000",1.5
Consumer Internet,Personalized Fashion App,Gurgaon,Seed Funding,"2,50,000",2.5
Consumer Internet,Hyperlocal Home Maintenance services,Bangalore,Seed Funding,"1,80,000",1.8
Consumer Internet,Online Investment management portal,Bangalore,Seed Funding,"2,50,000",2.5
Health and wellness,Specialized Patient Care platform,Noida,Seed Funding,"2,00,000",2
Consumer Internet,Ondemand Concierge Service,Gurgaon,Seed Funding,"2,30,000",2.3
Consumer Internet,Doctor Discovery and booking platform,Mumbai,Seed Funding,"8,00,000",8
Consumer Internet,Car/ bike Pooling App,Mumbai,Seed Funding,"1,08,000",1.08
Food & Beverages,Quick Service Restaurant Chain,Hyderabad,Private Equity,"15,00,000",15
Consumer Internet,Online Sports discovery and booking platform,New Delhi,Seed Funding,"30,000",0.3
Consumer Internet,Budget hotel aggregator,Gurgaon,Private Equity,"20,00,000",20
Consumer Internet,Educational Video Content Creator,Bangalore,Private Equity,"7,50,00,000",750
E-Commerce,Online Grocery Shop,Bangalore,Private Equity,"15,00,00,000",1500
Consumer Internet,On-demand 2-wheeler Servicing platform,Bangalore,Seed Funding,"6,00,000",6
Consumer Internet,Online Credit management tools,Hyderabad,Seed Funding,"3,60,000",3.6
Technology,Interior Painting Automation,Hyderabad,Seed Funding,"1,00,000",1
Technology,Robotic Classes for Students,Chennai,Seed Funding,"3,00,000",3
Consumer Internet,Health and wellness related solutions,Hyderabad,Private Equity,"3,30,000",3.3
Consumer Internet,Online Bike Rental platform,Bangalore,Private Equity,"5,00,000",5
Consumer Internet,Unified Push Notification service,Gurgaon,Seed Funding,"1,50,000",1.5
E-Commerce,Online Marketplace for Schools,Noida,Seed Funding,"3,00,000",3
Consumer Internet,Child Health and wellness experts aggregator mobile app,New Delhi,Seed Funding,"3,00,000",3
Finance,Asset Based Lending platform,Chennai,Private Equity,"47,00,000",47
Consumer Internet,Mobile based Logistics provider,New Delhi,Seed Funding,"2,00,000",2
Consumer Internet,GRC SaaS Platform,Chennai,Seed Funding,"5,00,000",5
Health and wellness,Predictive Health and wellness platform,Bangalore,Seed Funding,"4,00,000",4
Technology,IoT & M2M Solutions,Pune,Private Equity,"40,00,000",40
Consumer Internet,Mobile Email productivity tool,Bangalore,Seed Funding,"22,500",0.225
Technology,Augmented Reality Solutions,Gurgaon,Seed Funding,"22,500",0.225
Technology,Audio Technology Solutions,Mumbai,Seed Funding,"22,500",0.225
Consumer Internet,Beauty & Wellness Platform,Pune / Dubai,Seed Funding,"10,00,000",10
E-Commerce,Auto Spare Parts eTailer,New Delhi,Seed Funding,"1,00,000",1
Consumer Internet,Music Discovery Mobile App,Noida,Seed Funding,"1,00,000",1
Consumer Internet,Book Recommendation Service,Bangalore,Seed Funding,"30,000",0.3
E-Commerce,Fragrances & Perfume eTailer,New Delhi,Seed Funding,"30,000",0.3
Technology,Safe Driving Data & Analytics platform,Bangalore / SFO,Private Equity,"1,35,00,000",135
E-Commerce,Personalized Products & Merchandize eTailer,Vadodara,Private Equity,"10,00,000",10
Consumer Internet,Optical Store Aggregator Platform,Pune,Seed Funding,"81,000",0.81
Consumer Internet,Health and wellness Services & Online Pharmacy Mobile App,Varanasi,Seed Funding,"52,000",0.52
E-Commerce,Pet Products eTailer,New Delhi,Seed Funding,"10,00,000",10
Consumer Internet,Personal Fashion Stylist App,Gurgaon,Seed Funding,"1,00,000",1
Consumer Internet,Ad Network,New Delhi,Seed Funding,"1,00,000",1
E-Commerce,E-Commerce Logistics solutions,Pune,Private Equity,"1,25,00,000",125
Consumer Internet,Digital Lending Platform,Mumbai,Seed Funding,"2,00,000",2
Consumer Internet,Social Networking platform,Bangalore,Seed Funding,"12,00,000",12
Technology,Medicine Intake Reminder System,Pune,Seed Funding,"1,50,000",1.5
Technology,Cloud Analytics and Management Products,Bangalore,Seed Funding,"1,25,000",1.25
Food & Beverages,premium Tea and Coffee,New Delhi,Seed Funding,"10,00,000",10
Technology,Solar Power Solutions,Mumbai,Seed Funding,"10,00,000",10
Consumer Internet,Online Stock Trading Platform,Mumbai,Private Equity,"40,00,000",40
Consumer Internet,Online Recruitment Marketplace,Mumbai,Private Equity,"50,00,000",50
E-Commerce,Horizontal Online Marketplace,New Delhi,Private Equity,"20,00,00,000",2000
Consumer Internet,Events & Restaurant Discovery Marketplace App,Gurgaon,Seed Funding,"50,000",0.5
Consumer Internet,Online Household Product Rental platform,Bangalore,Seed Funding,"3,00,000",3
Finance,Micro Lending Platform for E-Commerce purchases,Bangalore,Seed Funding,"5,00,000",5
Consumer Internet,Dynamic Restaurant Website creator,Bangalore,Seed Funding,"10,00,000",10
Technology,Data analytics based Verification services Platform,Bangalore,Seed Funding,"9,70,000",9.7
E-Commerce,Professional Custom creators Marketplace,Pune,Private Equity,"40,00,000",40
Technology,Mobile Gaming Platform,New Delhi,Seed Funding,"3,50,000",3.5
Consumer Internet,Independent Online Video production company,Mumbai,Private Equity,"1,00,00,000",100
Education,Private Coaching Classes,New Delhi,Private Equity,"50,00,000",50
Consumer Internet,Health related Information portal,Ahmedabad,Seed Funding,"73,000",0.73
E-Commerce,Online Pharmacy store,New Delhi,Seed Funding,"3,00,000",3
Technology,Warehouse Automation,Bangalore,Seed Funding,"3,50,000",3.5
E-Commerce,Ethnic Products marketplace,New Delhi,Private Equity,"50,00,000",50
Consumer Internet,mobile platform for corporate employee benefits,Gurgaon,Seed Funding,"4,00,000",4
Consumer Internet,Parenting Mobile app,Bangalore,Seed Funding,"10,00,000",10
Consumer Internet,Hyperlocal Discover Mobile App,New Delhi,Private Equity,"30,00,000",30
Consumer Internet,Healthy Food Delivery platform,New Delhi,Seed Funding,"1,00,000",1
Consumer Internet,Hyperlocal Handyman services platform,Mumbai,Private Equity,"45,00,000",45
Consumer Internet,Mobile Fashion App,New Delhi,Seed Funding,"37,000",0.37
Consumer Internet,Deals and Discount platform,Gurgaon,Private Equity,"1,10,00,000",110
Consumer Internet,Hyperlocal Home Services Provider,Bangalore,Seed Funding,"1,60,000",1.6
Consumer Internet,Peer to peer property listing platform,Bangalore,Private Equity,"1,00,00,000",100
